gender,status,JAMP,Ethnicity,GPA_O,GPA_S,GPA_G,highest_mcat_2015,CASPer Score
Female,RB,N,African American,3.22,3.42,3.04,496,-0.88
Male,RB,N,White/Caucasian,3.72,3.74,0,,
Female,RB,N,White/Caucasian,3.58,3.41,0,500,0
Male,RB,N,Multiple,3.24,2.81,0,495,
Female,RB,N,White/Caucasian,3.5,3.22,0,,
Female,RB,N,Unreported,4,4,0,509,-0.4
Female,RB,N,White/Caucasian,3.44,2.67,0,506,-0.11
Male,WA,N,White/Caucasian,4,4,0,522,0.54
Male,WA,N,White/Caucasian,4,4,0,522,0.54
Female,WA,N,African American,3.64,3.39,0,513,0.6
Male,RB,N,White/Caucasian,2.93,2.87,0,495,
Male,RB,N,Hispanic,3.49,3.38,0,508,0.3
Female,RB,N,White/Caucasian,3.71,3.75,0,497,-1.88
Female,RB,N,White/Caucasian,3.86,3.78,0,504,
Female,RB,N,African American,3.38,3.15,0,505,1.5
Male,RB,N,Unreported,3.76,3.69,0,501,1.34
Male,WA,N,African American,3.71,3.63,0,509,-1.4
Male,RB,N,White/Caucasian,3.72,3.57,1.55,510,-0.39
Female,RB,N,White/Caucasian,3.83,3.68,0,512,-0.02
Male,RB,N,White/Caucasian,3.33,3.15,0,516,0.75
Female,RB,N,White/Caucasian,3.6,3.38,0,501,-0.05
Male,RB,N,White/Caucasian,3.64,3.37,0,493,
Male,RB,N,White/Caucasian,4,4,0,506,-1.39
Female,RB,N,African American,3.59,3.21,0,500,-1.12
Female,RB,N,African American,3.02,2.5,0,497,-0.58
Male,RB,N,Hispanic,3.83,3.72,0,520,
Male,RAI,N,White/Caucasian,4,4,0,515,
Female,RB,N,White/Caucasian,3.6,3.55,0,513,
Female,RB,N,Asian,3.59,3.35,4,508,-0.12
Female,RB,N,White/Caucasian,3.19,2.88,3.13,513,0.12
Female,RB,N,White/Caucasian,3.76,3.39,0,495,
Male,RB,N,Asian,3.62,3.59,0,510,
Male,RB,N,White/Caucasian,3.5,3.29,3.58,506,
Female,RB,N,White/Caucasian,3.61,3.66,0,506,1.33
Female,RB,N,Unreported,3.94,3.93,0,498,
Female,RB,N,Unreported,3.82,3.67,0,515,
Female,RB,N,Asian,3.39,2.63,0,516,1.52
Male,RB,N,Hispanic,3.52,3.4,0,484,
Male,RB,N,White/Caucasian,3.23,3.27,0,509,0.42
Female,OA,N,White/Caucasian,3.85,3.93,0,521,0.11
Male,RB,N,Asian,3.81,3.76,0,513,0.04
Male,RAI,N,Asian,3.94,3.96,0,516,0.62
Female,RB,N,Asian,3.74,3.73,0,511,0.59
Female,RB,N,Asian,3.98,3.96,2,519,1.15
Male,RB,N,White/Caucasian,3.72,3.58,0,515,-0.15
Male,RAI,N,Asian,3.72,3.66,0,514,0.08
Female,RAI,N,Asian,4,4,0,512,0.83
Female,OA,N,Asian,3.85,3.64,0,516,
Female,WM,N,White/Caucasian,3.86,3.74,0,520,1.43
Female,RB,N,Hispanic,3.44,3.05,0,,
Female,RB,N,Asian,3.54,3.43,0,502,0.12
Male,WA,N,White/Caucasian,4,4,0,524,0.59
Male,RB,N,Asian,3.65,3.63,3.19,502,0.83
Female,RB,N,Asian,3.6,3.27,0,504,
Female,RB,N,Asian,3.46,3.89,0,504,-0.99
Female,RB,N,White/Caucasian,3.53,3.33,0,505,
Female,RB,N,Asian,3.07,2.61,0,501,
Female,RB,N,Multiple,2.69,2.51,0,516,0.59
Male,RB,N,White/Caucasian,3.93,3.87,0,511,0.68
Female,RB,N,Asian,3.76,3.75,0,496,
Male,WA,N,Asian,4,4,0,524,1.65
Male,RB,N,White/Caucasian,2.59,2.36,2.92,494,
Female,RB,N,Asian,3.39,3.19,3.61,502,1.25
Female,RB,N,Asian,3.65,3.47,0,512,
Male,RB,N,Asian,3.64,3.51,0,505,0.68
Female,RB,N,Asian,4,4,0,512,-1.71
Female,WA,N,Asian,3.94,3.9,0,521,-1.07
Male,OA,N,White/Caucasian,3.91,3.9,3,521,0.74
Female,RB,N,White/Caucasian,3.71,3.62,3.16,515,0.66
Female,RB,N,White/Caucasian,3.7,3.61,0,504,0.26
Female,RB,N,White/Caucasian,3.55,3.39,3.38,503,
Male,RB,N,White/Caucasian,2.85,2.46,3,,
Female,RB,N,White/Caucasian,3.48,3.24,0,508,-0.57
Male,RB,N,Hispanic,3.29,3.11,0,504,
Female,RB,N,Asian,3.47,3.07,0,507,-0.1
Female,WM,N,Asian,3.67,3.64,0,519,1.08
Female,RB,N,Asian,3.57,3.35,0,507,0.7
Male,RB,N,Asian,3.38,3.07,0,510,0.22
Male,RB,N,White/Caucasian,3.03,2.53,0,508,-0.89
Male,RAI,N,White/Caucasian,3.92,3.93,0,513,0.66
Male,RB,N,White/Caucasian,3.83,3.81,0,507,-0.88
Male,RB,N,White/Caucasian,3.64,3.53,0,512,1.02
Female,RB,N,Hispanic,3.5,3.13,3.92,497,-0.05
Male,RB,N,Asian,3.71,3.66,0,508,-0.43
Male,RB,N,Asian,3.37,3.25,3.78,508,-0.27
Female,RB,N,Asian,3.77,3.67,0,,
Female,RAI,N,Asian,3.97,4,0,513,0.34
Male,RB,N,African American,3.57,3.45,3.77,502,-0.9
Female,WM,N,Asian,4,4,0,520,0.27
Female,RB,N,White/Caucasian,3.86,3.83,0,503,-1.24
Female,RB,N,Asian,3.79,3.68,0,507,
Male,OA,N,White/Caucasian,4,4,0,523,-0.81
Female,WM,N,White/Caucasian,3.86,3.83,0,512,
Male,RAI,N,White/Caucasian,3.81,3.7,0,517,
Female,RB,N,Asian,4,4,0,509,0.17
Female,RB,N,Asian,3.84,3.63,0,496,-0.75
Male,RB,N,Asian,3.18,3.17,0,493,-0.58
Female,RB,N,Asian,3.79,3.68,0,502,0.21
Female,WM,N,Unreported,4,4,0,518,-0.43
Female,WM,N,Asian,3.94,3.92,0,521,1.12
Male,RB,N,Asian,3.62,3.52,0,511,
Female,RB,N,Asian,3.77,3.66,0,510,-0.57
Female,RB,N,Multiple,3.9,3.85,0,518,-0.57
Male,RB,N,Asian,3.5,3.47,0.87,514,0.34
Male,RB,N,Asian,3.92,3.94,0,513,0.11
Female,RB,N,Asian,3.56,3.37,3.5,498,-0.81
Female,RB,N,Asian,3.82,3.66,0,501,0.76
Female,RB,N,African American,3.05,2.17,0,483,0.26
Female,RB,N,Asian,3.61,3.55,0,510,-0.07
Female,RB,N,Hispanic,3.6,3.5,0,488,
Male,RB,N,White/Caucasian,3.98,4,0,510,0.29
Female,RB,N,Asian,3.37,3.65,0,493,0.51
Female,RB,N,Asian,3.42,3.43,3.63,509,1.58
Female,WM,N,Asian,4,4,0,519,0.83
Female,RB,N,White/Caucasian,3.65,3.57,0,512,1.45
Male,RAI,N,White/Caucasian,3.78,3.71,0,516,
Male,RB,N,White/Caucasian,4,4,0,518,-0.37
Female,RB,N,White/Caucasian,3.02,2.85,0,502,1.59
Female,RB,N,Asian,2.99,2.53,0,495,0.12
Male,RB,N,White/Caucasian,3.65,3.42,0,505,-0.43
Female,RB,N,African American,3.16,2.67,0,485,-2.55
Female,WM,N,White/Caucasian,3.94,3.86,0,518,
Male,RB,N,Asian,3.61,3.54,0,513,1.57
Male,RB,N,Asian,3.75,3.68,0,510,-0.92
Male,RB,N,Asian,3.92,3.91,0,523,1.63
Male,RB,N,White/Caucasian,4,4,0,520,
Male,RB,N,Hispanic,3.42,3.2,3.94,489,-0.18
Female,RB,N,Hispanic,3.68,3.8,0,500,
Female,RB,N,Asian,3.8,3.61,0,492,
Female,RB,N,White/Caucasian,3.97,3.95,0,496,
Male,RB,N,Multiple,3.34,3.12,0,509,
Female,RB,N,Multiple,3.77,3.72,2,500,0.09
Female,RB,N,Asian,3.74,3.48,0,504,1.03
Female,RB,N,White/Caucasian,3.21,2.9,3.33,501,0.71
Female,RB,N,White/Caucasian,3.92,3.9,0,505,
Male,RB,N,White/Caucasian,4,4,0,509,-0.35
Male,WM,N,White/Caucasian,3.91,3.86,0,514,
Female,OA,N,Multiple,3.97,3.99,0,515,-1.07
Male,RB,N,White/Caucasian,3.89,3.81,0,506,
Male,OA,N,White/Caucasian,3.62,3.53,0,522,0.17
Female,RB,N,White/Caucasian,3.83,3.88,0,512,1.08
Female,RB,N,Asian,3.78,3.74,0,513,-0.98
Female,RB,N,Unreported,3.46,3.4,3.14,499,
Male,RB,N,Asian,2.68,2.46,0,499,
Male,RB,N,Multiple,3.54,3.27,0,490,-0.8
Female,WA,N,White/Caucasian,4,4,0,520,0.78
Female,RB,N,Asian,3.5,3.27,3.72,513,-0.18
Male,WB,N,Asian,3.56,3.34,4,502,-0.27
Male,RB,N,Asian,3.43,3.18,0.7,500,0.36
Female,OA,N,Asian,3.91,3.84,0,516,
Male,RB,N,Asian,3.5,3.15,3.91,,
Female,RB,N,Unreported,3.47,3.35,0,498,
Female,RB,N,Asian,3.2,2.94,0,492,-0.93
Female,WM,N,Asian,4,4,0,516,-0.04
Female,RB,N,White/Caucasian,3.63,3.37,3.43,509,0.51
Male,RAI,N,White/Caucasian,3.96,3.93,0,517,0.12
Female,RB,N,Multiple,2.39,1.87,0,488,-0.85
Male,RB,N,White/Caucasian,3.78,3.79,0,496,
Female,RB,N,Asian,3.9,3.87,0,517,-0.19
Female,RB,N,Asian,3.88,3.84,0,517,0.37
Female,RB,N,White/Caucasian,4,4,0,508,
Male,RB,N,White/Caucasian,3.9,3.86,0,510,-0.03
Female,RB,N,Multiple,3.54,3.24,0,487,
Female,WM,N,White/Caucasian,3.94,3.91,3.06,514,-0.83
Male,RB,N,Hispanic,3.3,3.45,3.56,479,-2.54
Male,RB,N,White/Caucasian,3.72,3.67,0,514,-1.72
Male,RB,N,White/Caucasian,3.8,3.76,0,508,-0.53
Female,RB,N,White/Caucasian,3.87,3.91,3.8,511,0.53
Male,RB,N,White/Caucasian,3.7,3.54,0,502,0.02
Male,RB,N,White/Caucasian,4,4,0,516,0.83
Male,RAI,N,White/Caucasian,3.67,3.64,3.96,515,-0.26
Female,RAI,N,White/Caucasian,3.83,3.83,0,517,0.64
Female,RB,N,White/Caucasian,3.84,3.74,0,506,
Male,RB,N,White/Caucasian,3.17,3.03,4,504,
Male,RB,N,Hispanic,3.16,3.12,4,511,
Female,WA,N,White/Caucasian,4,4,0,523,1.65
Female,RB,N,Asian,2.71,2.36,3.47,500,-0.1
Male,RB,N,Multiple,3.49,3.27,0,489,
Female,RB,N,White/Caucasian,3.56,3.44,0,508,-1.15
Female,RAI,N,White/Caucasian,4,4,0,513,
Male,RB,N,African American,3.81,3.82,0,495,
Male,RB,N,White/Caucasian,3.2,3.09,0,502,-1.85
Male,RB,N,White/Caucasian,3.72,3.77,0,507,1.18
Female,RB,N,African American,2.72,2.36,0,492,-0.41
Male,RB,N,White/Caucasian,3.88,3.91,0,500,
Female,WM,N,White/Caucasian,4,4,0,512,-0.07
Female,OA,N,Asian,3.93,3.87,0,516,1.41
Male,RB,N,Asian,3.75,3.69,0,496,-0.21
Male,RB,N,White/Caucasian,3.83,3.73,0,517,-0.05
Male,RAI,N,Hispanic,3.93,3.97,0,509,-0.06
Female,RB,N,African American,3.76,3.7,0,496,-0.23
Male,RB,N,White/Caucasian,4,4,0,508,
Female,WM,N,Unreported,3.77,3.55,0,519,2.04
Male,RB,N,Multiple,3.85,3.77,0,512,1.5
Female,RB,N,White/Caucasian,3.98,3.96,0,506,0.81
Male,RAI,N,White/Caucasian,3.69,3.66,0,517,-0.15
Male,RB,N,White/Caucasian,2.04,1.55,0,488,-1.17
Male,RB,N,White/Caucasian,3.64,3.48,0,518,0.39
Female,RB,N,White/Caucasian,3.35,3.24,4,505,-1.14
Female,RB,N,White/Caucasian,3.93,3.92,0,515,0.11
Male,RB,N,White/Caucasian,3.58,3.82,0,505,-0.41
Male,RB,N,Multiple,3.61,3.49,0,,
Female,RB,N,Hispanic,3.5,3.25,0,491,-1.1
Male,RB,N,Multiple,3.65,3.45,0,506,0.95
Female,RB,N,Asian,3.37,2.85,0,497,
Male,WM,N,Hispanic,3.87,3.8,0,514,
Male,RB,N,Asian,3.52,3.18,3.88,508,1.65
Female,RB,N,Asian,2.86,2.83,0,500,
Male,RB,N,Asian,3.21,2.85,0,498,-0.16
Female,RAI,N,Asian,4,4,0,515,0.44
Male,RB,N,Asian,3.9,3.84,0,514,0.17
Male,RB,N,Asian,3.7,3.68,0,509,
Male,RB,N,Asian,3.33,3.3,3.21,,
Male,RB,N,Asian,3.32,3.08,0,500,
Male,RB,N,Asian,3.31,3.39,0,515,-2.37
Female,RB,N,Asian,3.66,3.37,3.78,507,-0.15
Female,RB,N,Asian,3.4,3.27,4,506,-0.73
Male,RB,N,Asian,3.97,4,0,514,-0.64
Female,RB,N,Asian,3.92,3.88,3.94,500,
Female,RB,N,Asian,3.02,2.61,0,474,-3.91
Male,RB,N,Asian,3.97,3.98,0,519,0.37
Female,WM,Y,Asian,3.96,3.93,0,511,0.36
Female,RB,N,Asian,3.96,3.94,0,500,
Female,RB,N,Asian,3.55,3.15,0,512,0.51
Female,RB,N,Asian,3.36,3.15,0,485,-0.29
Female,RB,N,Asian,3.75,3.79,0,507,-0.27
Female,RB,N,Asian,3.53,3.64,0,505,
Male,WA,N,White/Caucasian,3.87,3.83,0,519,1.28
Male,RB,N,Asian,3.73,3.58,3.58,504,1.04
Male,WM,N,White/Caucasian,3.98,3.95,0,515,0.19
Female,RB,N,African American,3.83,3.76,0,504,-0.37
Male,RB,N,African American,2.94,2.83,3.19,486,-2.12
Male,WA,N,African American,4,4,0,512,-1.32
Female,RB,N,White/Caucasian,3.71,3.36,0,498,1.16
Female,RB,N,Asian,3.5,3.24,0,515,0.69
Female,RAI,N,Asian,3.95,4,0,510,2.02
Male,RB,N,Asian,3.8,3.82,3.29,507,-0.61
Male,RB,N,Asian,3.92,4,3.8,506,
Female,RB,N,Asian,3.9,3.82,0,508,1.24
Female,RB,N,Asian,3.42,3.09,3.29,507,
Male,RB,N,Asian,3.92,3.92,0,515,2.07
Male,RB,N,Asian,3.96,4,0,506,-0.02
Male,RB,N,Asian,3.74,3.48,0,505,
Male,RB,N,Asian,3.76,3.69,0,486,
Female,WB,N,Asian,3.87,3.89,0,517,1.93
Female,RB,N,White/Caucasian,3.45,3.1,3.85,509,0.41
Female,RAI,N,White/Caucasian,3.79,3.76,0,515,-0.51
Male,RB,N,Asian,3.89,3.93,0,518,0.11
Female,OA,N,Asian,4,4,0,518,0.45
Male,RB,N,White/Caucasian,3.96,3.93,0,506,
Male,RB,N,Asian,3.94,3.92,0,524,-0.37
Female,WM,N,Asian,4,4,0,515,0.17
Male,RB,N,Asian,3.35,3.16,0,508,1.74
Female,RB,N,Asian,3.54,3.4,0,497,
Female,RB,N,Asian,3.47,3.34,3.62,,
Male,RB,N,White/Caucasian,3.34,3.31,0,514,
Female,RB,N,White/Caucasian,3.19,3.62,0,505,-0.06
Female,RB,N,African American,3.19,3.24,4,487,-2.94
Male,RB,N,Multiple,2.88,2.97,2.9,496,
Male,RB,N,African American,3.57,3.5,3.59,497,
Male,RB,N,White/Caucasian,3.7,3.53,0,496,-0.98
Female,RB,N,Multiple,3.44,3.29,0,481,-0.14
Male,WI,N,White/Caucasian,3.98,4,0,523,0.29
Female,RB,N,White/Caucasian,3.9,3.86,0,503,0.47
Male,RB,N,White/Caucasian,3.88,3.91,0,507,0.99
Female,RB,N,White/Caucasian,3.42,3.28,4,504,0.49
Male,RB,N,Unreported,3.55,3.44,3.18,510,0.04
Female,RB,N,Hispanic,3.54,3.4,0,496,
Female,RB,N,Asian,3.73,3.43,0,501,
Female,RB,N,African American,3.31,3.58,0,,
Male,RAI,N,White/Caucasian,3.92,3.9,0,521,
Female,RB,N,White/Caucasian,3.75,3.66,0,515,-0.84
Male,RAI,N,Unreported,4,4,0,519,0.6
Female,RB,N,White/Caucasian,3.92,3.87,0,509,-0.23
Male,RB,N,Asian,3.85,3.81,0,508,-0.48
Male,RB,N,White/Caucasian,3.77,3.66,0,513,
Female,RB,N,White/Caucasian,3.82,3.71,0,513,0.44
Female,RB,N,Hispanic,3.25,3.12,0,490,
Male,RB,N,Hispanic,2.74,2.41,0,492,
Female,RB,N,White/Caucasian,3.47,3.36,3.69,504,-0.73
Female,RB,N,White/Caucasian,3.81,3.73,0,501,0.83
Male,RB,N,White/Caucasian,3.5,3.24,0,508,-1.38
Female,RB,N,Asian,0,0,0,516,0.73
Female,RB,N,Multiple,3.84,3.64,4,,
Female,RB,N,White/Caucasian,3.92,3.85,0,,
Female,WI,N,Hispanic,4,4,0,511,1.58
Male,RB,N,White/Caucasian,2.83,3.57,0,521,0.46
Female,RB,N,White/Caucasian,3.72,3.63,0,510,1.02
Male,RB,N,White/Caucasian,3.64,3.48,4,511,-0.44
Female,RB,N,Asian,3.78,3.72,0,504,-0.9
Female,RB,N,Hispanic,3.58,3.27,0,499,
Female,WM,Y,White/Caucasian,4,4,0,511,0.44
Male,RB,N,Hispanic,3.44,3.29,3.88,499,-0.02
Female,WM,N,Hispanic,3.95,3.93,0,511,
Male,RB,N,African American,3.67,3.69,0,497,1.47
Male,RB,N,White/Caucasian,3.77,3.79,0,512,-0.6
Male,RB,N,Multiple,3.74,3.73,0,510,0.96
Decline to Answer,RB,N,African American,3.28,3,0,501,0.98
Male,RB,N,White/Caucasian,3.62,3.44,0,515,1.32
Female,WB,N,Hispanic,3.86,3.77,0,485,
Female,OA,N,Asian,3.92,3.91,0,517,1
Female,WB,N,Asian,3.99,3.98,0,,
Male,RB,N,Asian,3.46,3.39,3.82,514,0.34
Female,RB,N,Asian,3.96,3.92,0,513,
Male,RB,N,Asian,3.97,3.95,0,514,0.28
Male,RB,N,Asian,3.63,3.6,0,515,
Male,RB,N,Hispanic,3.64,3.35,0,515,-2.52
Female,RB,N,Asian,3.73,3.62,0,507,
Female,RB,N,Asian,3.46,3.16,4,510,
Male,RB,N,Asian,3.88,3.85,3.16,513,
Male,RAI,N,Asian,3.86,3.87,0,518,0.78
Male,RB,N,Unreported,3.75,3.63,0,,
Male,RB,N,Asian,3.62,3.25,2.67,510,1.47
Female,RB,N,Asian,3.63,3.42,0,513,-0.57
Female,RB,N,White/Caucasian,3.64,3.53,0,511,-1.03
Male,RB,N,White/Caucasian,3.31,3.2,0,496,-0.19
Female,WB,N,Hispanic,3.81,3.75,0,,
Male,RAI,N,White/Caucasian,3.85,3.93,0,516,-1.46
Female,RB,N,Asian,3.65,3.64,3.88,498,
Male,RB,N,Asian,3.92,3.93,0,516,0.88
Female,WA,N,Asian,3.97,3.96,0,525,1.86
Female,RB,N,Multiple,3.82,3.71,0,514,
Female,RB,N,Hispanic,3.82,3.78,0,508,1.9
Male,RB,N,Asian,3.94,3.92,0,507,
Male,RAI,N,Asian,4,4,0,520,-0.07
Male,RB,N,Asian,3.82,3.82,0,511,-1.55
Female,WM,N,Asian,4,4,0,519,-0.23
Male,RB,N,Multiple,3.5,3.4,3.77,515,0.44
Male,RB,N,Multiple,3.5,3.4,3.77,515,0.44
Female,RB,N,Asian,3.92,3.83,0,508,0.08
Female,RB,N,Multiple,3.54,3.31,0,501,-0.02
Female,RB,N,Asian,3.64,3.53,3.83,513,-1.31
Male,WB,N,Asian,4,4,0,513,0.02
Male,WM,N,Asian,3.92,3.83,0,523,0.84
Male,RB,N,Asian,3.65,3.6,0,508,-0.06
Female,RB,N,Hispanic,3.98,3.97,0,508,-0.36
Male,RB,N,White/Caucasian,3.85,3.87,0,513,0.6
Female,RB,N,White/Caucasian,3.57,3.29,0,509,0.73
Male,RB,N,White/Caucasian,4,4,0,,
Male,RB,N,White/Caucasian,3.54,3.41,4,506,0.54
Male,RB,N,White/Caucasian,4,4,0,514,-0.99
Male,WI,N,White/Caucasian,3.68,3.79,0,516,0.85
Female,RB,N,Asian,3.95,4,0,510,0.42
Male,RB,N,Asian,3.25,3.09,0,508,
Male,RB,N,Asian,3.82,3.76,0,510,0.09
Female,OA,N,Asian,4,4,0,525,
Female,RB,N,Asian,3.71,3.59,0,507,
Female,WM,N,Asian,4,4,0,522,0.91
Female,RB,N,Asian,3.97,3.95,0,507,-1.4
Female,RB,N,Asian,2.92,2.91,0,496,
Male,RB,N,Asian,3.85,3.81,0,515,1.18
Male,RB,N,White/Caucasian,3.86,3.77,0,501,-0.43
Female,RB,N,White/Caucasian,3.62,3.43,3.53,500,
Female,OA,N,White/Caucasian,3.6,3.54,0,518,0.93
Female,WM,N,White/Caucasian,3.75,3.61,0,518,0.29
Female,RB,N,Hispanic,3.66,3.53,0,485,
Male,RB,N,White/Caucasian,3.98,3.96,0,518,1.9
Female,RB,N,Asian,3.55,3.56,0,511,0.33
Female,RB,N,Unreported,3.48,3.56,0,519,-0.95
Male,RB,N,White/Caucasian,3.82,3.75,0,509,-0.07
Female,RB,N,White/Caucasian,2.8,2.67,0,494,-2.01
Male,RB,N,White/Caucasian,3.05,2.9,4,507,
Male,RB,N,African American,3.5,3.38,0,500,-1.19
Female,RB,N,White/Caucasian,3.74,3.55,0,507,-1.89
Male,RB,N,White/Caucasian,3.82,3.77,0,511,-0.15
Female,RB,N,White/Caucasian,4,4,0,509,-0.05
Decline to Answer,RB,N,Unreported,2.51,2.81,0,508,-0.65
Female,OA,N,White/Caucasian,3.9,3.93,0,520,0.46
Female,WM,N,Unreported,3.7,3.53,3.92,512,0.22
Male,RB,N,Hispanic,3.4,3.26,0,,
Male,WM,N,Hispanic,3.78,3.7,4,517,0.12
Female,RB,N,Hispanic,3.53,3.27,0,500,0.24
Male,RB,N,Hispanic,3.92,3.9,0,506,
Female,RB,N,Hispanic,3.6,3.22,0,493,-0.57
Male,RB,N,Hispanic,3.52,3.55,0,506,0.09
Female,RB,N,Hispanic,3.72,3.63,3.88,499,
Male,RB,N,Hispanic,3.37,3.02,0,506,0.02
Female,RB,N,Hispanic,3.57,3.26,3.63,479,-0.5
Male,RB,N,Hispanic,3.48,3.53,3.27,,
Male,RB,N,Hispanic,3.88,3.86,0,506,0.35
Female,RB,N,Hispanic,3.54,3.31,0,499,-0.24
Female,RB,N,Hispanic,2.99,2.69,0,500,
Female,RB,N,Hispanic,3.23,3.02,0,501,
Female,RB,N,Hispanic,3.25,2.97,3.73,486,
Female,RB,N,Hispanic,3.54,3.47,0,484,-0.91
Female,RAI,N,White/Caucasian,3.88,3.73,0,514,1.16
Female,RB,N,African American,3.8,3.79,0,494,
Male,WM,N,White/Caucasian,3.88,3.86,0,519,0.69
Female,RB,N,White/Caucasian,3.83,3.71,0,509,0.52
Male,RB,N,African American,3.12,2.86,0,,
Female,RB,N,White/Caucasian,3.53,3.25,0,507,
Female,RB,N,White/Caucasian,3.78,3.63,0,501,
Male,RB,N,White/Caucasian,3.35,3.17,0,517,-0.38
Male,RB,N,White/Caucasian,3.84,3.73,0,505,0.46
Male,RB,N,Asian,3.79,3.66,0,506,-0.75
Female,RB,N,White/Caucasian,3.64,3.58,0,515,1.4
Female,RB,N,White/Caucasian,3.81,3.62,0,506,0.96
Female,RB,N,Hispanic,3.83,3.79,0,496,
Female,RB,N,Hispanic,3.31,3.17,0,505,-0.24
Male,RB,N,White/Caucasian,3.39,3.3,0,501,-0.41
Female,WM,Y,Hispanic,4,4,0,511,0.87
Female,RB,N,Hispanic,3.49,3.39,4,490,-2.17
Female,WM,N,Asian,4,4,0,520,0.78
Male,RB,N,White/Caucasian,3.76,3.75,0,492,-0.02
Male,WM,Y,Hispanic,3.98,4,0,511,-0.48
Female,RAI,N,White/Caucasian,3.83,3.74,0,511,1.99
Male,WB,N,White/Caucasian,3.77,3.78,0,518,0.27
Female,RB,N,Hispanic,3.79,3.66,0,507,0.21
Female,RB,N,Asian,3.5,3.46,0,510,1.33
Female,RB,N,Hispanic,3.52,3.37,0,492,0.53
Female,RB,N,Hispanic,3.69,3.47,0,,
Female,OA,N,Hispanic,3.85,3.74,0,516,0.36
Female,WM,Y,White/Caucasian,4,4,0,508,-0.32
Female,RB,N,Asian,4,4,0,496,
Female,OA,N,Asian,3.91,3.9,0,519,0.01
Male,WM,N,White/Caucasian,4,4,0,520,1.07
Male,RB,N,Asian,3.77,3.84,0,495,
Male,OA,N,Asian,3.64,3.7,0,520,-0.29
Female,RB,N,Asian,3.56,3.24,0,499,-1.06
Female,RB,N,White/Caucasian,3.43,3.38,0,511,1.43
Female,RB,N,White/Caucasian,3.64,3.08,0,492,-0.2
Male,RB,N,Asian,3.99,3.99,0,513,0.56
Female,RB,N,African American,3.19,3.49,3.9,488,
Female,RB,N,White/Caucasian,3.97,3.9,0,516,0.54
Male,RB,N,Asian,3.83,3.76,0,510,-0.66
Male,RB,N,White/Caucasian,3.51,3.43,0,502,
Female,RB,N,Asian,3.97,4,0,510,-0.39
Male,RB,N,Asian,3.98,4,0,511,-0.61
Male,RB,N,Asian,3.61,3.45,0,510,-0.41
Male,RB,N,White/Caucasian,3.66,3.63,0,508,0.76
Female,RB,N,Asian,3.54,3.32,0,499,-1.77
Male,RB,N,White/Caucasian,3.65,3.59,0,498,0.33
Male,RB,N,Hispanic,2.92,2.98,3.92,501,
Male,RAI,N,White/Caucasian,3.97,4,0,514,0.8
Male,RAI,N,Hispanic,3.87,3.8,0,512,-0.81
Female,RB,N,Asian,3.69,3.63,0,508,-0.49
Male,RB,N,White/Caucasian,3.51,3.39,0,516,0.2
Female,RB,N,Multiple,3.46,3.26,0,503,-0.14
Female,RB,N,Asian,3.33,3.17,0.9,498,0.29
Male,OA,Y,Hispanic,3.89,3.82,0,506,-0.4
Female,RB,N,White/Caucasian,3.67,3.58,0,509,-0.26
Female,RB,N,African American,3.9,3.87,0,501,-0.72
Female,WM,N,White/Caucasian,3.95,3.89,0,513,
Female,RB,N,White/Caucasian,3.4,3.26,0,517,1.47
Female,RB,N,White/Caucasian,3.88,3.79,0,505,
Female,RB,N,White/Caucasian,3.74,3.53,0,508,-0.14
Female,WA,N,Asian,3.92,3.92,0,515,0.89
Female,WM,N,Asian,3.96,3.94,0,517,-0.34
Female,RB,N,White/Caucasian,3.84,3.76,0,503,0.52
Female,RB,N,Asian,2.59,2.24,4,497,0.43
Female,RB,N,Hispanic,3.31,2.84,0,486,-0.67
Female,RB,N,Asian,3.61,3.45,0,,
Male,RB,N,Asian,3.82,3.67,0,514,1.33
Male,RB,N,Asian,3.82,3.91,0,511,-1.99
Female,RB,N,Asian,3.24,2.91,0,,
Female,RB,N,Hispanic,3.97,3.95,0,504,
Male,RB,N,Hispanic,2.84,2.76,0,494,
Female,RB,N,White/Caucasian,3.17,3.22,0,507,
Male,RB,N,White/Caucasian,3.97,3.96,0,518,-0.79
Male,RB,N,White/Caucasian,3.83,3.77,0,519,0.45
Female,RB,N,Asian,3.6,3.27,0,507,
Female,RB,N,Multiple,3.54,3.3,0,,
Male,RB,N,White/Caucasian,3.49,3.42,4,517,0.94
Male,RB,N,White/Caucasian,4,4,0,512,-0.65
Female,WM,N,Asian,4,4,0,515,-0.68
Female,WA,N,Asian,3.92,3.85,0,518,1.37
Female,RB,N,Asian,3.81,3.81,0,511,-0.14
Female,RB,N,Asian,3.64,3.56,3.95,505,1.25
Male,RB,N,Unreported,3.84,3.75,0,506,0.26
Female,RB,N,Asian,3.64,3.46,0,508,
Female,RB,N,African American,3.54,3.25,0,498,-0.81
Male,RB,N,Asian,3.97,3.94,0,503,0.73
Male,RB,N,Asian,3.65,3.54,0,514,
Female,RB,N,Asian,3.73,3.65,0,504,
Male,RB,N,Asian,3.49,3.39,0,492,-1.93
Female,RB,N,White/Caucasian,2.66,2.33,0,492,
Female,RB,N,Asian,3.38,3.29,0,500,0.1
Male,RB,N,Asian,3.5,3.17,0,492,-0.93
Female,RB,N,White/Caucasian,3.73,3.64,0,501,-0.29
Female,RB,N,Asian,3.59,3.3,3.79,495,-0.58
